_,      Provincias de destino,-,--,---,----,-----,------,      Provincias de  destino,.,..,...,....,......,........,.........,............,..............
PROVINCIAS DE,-,     -,-,-,-,-,-,-,    -,   -,-,      -,-,-,   -,-,  -
 PROCEDENCIA/2011,     Total,   Pinar del Río,Artemisa,La  Habana,Mayabeque,Matanzas,Villa Clara,Cienfuegos,   Sancti Spíritus,    Ciego de Ávila,   Camagüey,     Las  Tunas,    Holguín,     Granma,   Santiago de Cuba,Guantánamo, Isla de la JuventudCuba,
 Cuba,"63,996","1,400","4,957","16,851","4,190","5,612","3,041","2,133","2,756","3,918","4,428","2,717","3,921","2,940","2,307","1,896",929,
    Hombres,"32,074",679,"2,624","8,096","2,222","2,873","1,605","1,046",1404 ,"1,973","2,192","1,352","2,024","1,462","1,107",930,485,
    Mujeres,"31,922",721,"2,333","8,755","1,968","2,739","1,436","1,087",1352 ,"1,945","2,236","1,365","1,897","1,478","1,200",966,444,
  Pinar del Río,"2,284",0,708,956,115,110,35,33,34,27,38,17,52,29,37,35,58,
    Hombres,"1,121",0,365,451,60,55,14,17,15 ,11,19,9,26,12,16,18,33,
    Mujeres,"1,163",0,343,505,55,55,21,16,19 ,16,19,8,26,17,21,17,25,
  Artemisa,"3,447",544,0,"1,660",222,122,64,49,56,49,93,66,104,185,95,88,50,
    Hombres,"1,731",273,0,810,118,58,36,27,28,30,50,42,56,90,42,46,25,
    Mujeres,"1,716",271,0,850,104,64,28,22,28,19,43,24,48,95,53,42,25,
  La Habana,"5,791",291,848,0,826,463,361,206,233,246,366,278,445,416,335,291,186,
    Hombres,"3,009",139,456,0,452,231,193,108,127,118,160,140,243,219,167,156,100,
    Mujeres,"2,782",152,392,0,374,232,168,98,106,128,206,138,202,197,168,135,86,
  Mayabeque,"3,426",52,344,"1,622",0,319,51,57,33,62,99,73,211,220,102,141,40,
    Hombres,"1,781",25,181,798,0,164,32,26,16,32,57,42,124,130,54,81,19,
    Mujeres,"1,645",27,163,824,0,155,19,31,17,30,42,31,87,90,48,60,21,
  Matanzas,"2,738",40,109,693,187,0,350,171,122,116,174,96,180,198,156,115,31,
    Hombres,"1,406",20,61,351,90,0,195,88,71,59,98,38,81,102,74,63,15,
    Mujeres,"1,332",20,48,342,97,0,155,83,51,57,76,58,99,96,82,52,16,
  Villa Clara,"3,321",28,79,826,74,691,0,494,570,186,128,64,68,50,21,29,13,
    Hombres,"1,638",11,40,388,46,374,0,230,286,83,60,34,35,21,11,14,5,
    Mujeres,"1,683",17,39,438,28,317,0,264,284,103,68,30,33,29,10,15,8,
  Cienfuegos,"1,775",31,54,398,52,244,419,0,147,55,110,57,62,53,51,28,14,
    Hombres,903,16,30,189,24,139,200,0,76,23,57,29,41,33,25,13,8,
    Mujeres,872,15,24,209,28,105,219,0,71,32,53,28,21,20,26,15,6,
  Sancti Spíritus,"2,490",35,64,472,53,217,691,172,0,358,148,41,111,70,27,21,10,
    Hombres,"1,244",16,34,242,24,109,360,72,0,175,66,20,63,32,13,15,3,
    Mujeres,"1,246",19,30,230,29,108,331,100,0,183,82,21,48,38,14,6,7,
Ciego de Ávila,"3,015",24,108,588,94,172,183,80,371,0,555,118,264,218,95,126,19,
    Hombres,"1,579",11,58,277,56,96,104,40,196,0,301,58,146,107,57,62,10,
    Mujeres,"1,436",13,50,311,38,76,79,40,175,0,254,60,118,111,38,64,9,
  Camagüey,"5,513",64,226,"1,200",240,438,212,167,299,816,0,687,396,314,193,211,50,
    Hombres,"2,691",30,121,576,117,201,102,90,147,415,0,328,201,157,79,97,30,
    Mujeres,"2,822",34,105,624,123,237,110,77,152,401,0,359,195,157,114,114,20,
  Las Tunas,"3,762",29,193,771,165,271,110,86,104,197,796,0,559,230,113,70,68,
    Hombres,"1,930",12,111,364,91,149,54,39,55,114,397,0,318,99,62,34,31,
    Mujeres,"1,832",17,82,407,74,122,56,47,49,83,399,0,241,131,51,36,37,
  Holguín,"7,300",67,466,"2,182",433,591,162,156,318,554,622,599,0,376,336,329,109,
    Hombres,"3,648",36,246,1055,227,309,91,75,167,291,304,309,0,168,176,137,57,
    Mujeres,"3,652",31,220,1127,206,282,71,81,151,263,318,290,0,208,160,192,52,
  Granma,"7,085",54,698,"1,855",830,856,177,139,186,547,525,289,448,0,301,89,91,
    Hombres,"3,466",22,343,867,420,435,99,74,91,265,255,132,219,0,141,48,55,
    Mujeres,"3,619",32,355,988,410,421,78,65,95,282,270,157,229,0,160,41,36,
  Santiago de Cuba,"5,158",43,467,"1,460",344,525,102,179,105,316,342,128,441,360,0,263,83,
    Hombres,"2,521",26,261,693,200,253,54,93,50,148,160,52,188,181,0,121,41,
    Mujeres,"2,637",17,206,767,144,272,48,86,55,168,182,76,253,179,0,142,42,
  Guantánamo,"5,514",44,473,"1,628",456,531,84,119,151,358,387,148,497,136,395,0,107,
    Hombres,"2,726",22,257,769,243,270,51,57,68,196,185,85,238,65,167,0,53,
    Mujeres,"2,788",22,216,859,213,261,33,62,83,162,202,63,259,71,228,0,54,
  Isla de la Juventud,"1,377",54,120,540,99,62,40,25,27,31,45,56,83,85,50,60,0,
    Hombres,680,20,60,266,54,30,20,10,11,13,23,34,45,46,23,25,0,
    Mujeres,697,34,60,274,45,32,20,15,16,18,22,22,38,39,27,35,0,
