_,      Provincias de destino,-,--,---,----,-----,------,      Provincias de  destino,.,..,...,....,......,........,.........,............,..............
PROVINCIAS DE,-,     -,-,-,-,-,-,-,    -,   -,-,      -,-,-,   -,-,  -
 PROCEDENCIA/2011,     Total,    Pinar del Río,Artemisa,La  Habana,Mayabeque,Matanzas,Villa Clara,Cienfuegos,   Sancti Spíritus,    Ciego de Ávila,   Camagüey,     Las  Tunas,    Holguín,     Granma,   Santiago de Cuba,Guantánamo, Isla de la Juventud
Cuba,"76,300","3,054","3,804","6,966","3,691","3,368","3,771","2,027","2,709","3,252","5,402","4,309","8,279","9,086","8,738","6,493","1,351",
    Hombres,"38,764","1,427","1,984","3,654","1,973","1,755","1,917","1,025","1,344","1,690","2,774","2,225","4,207","4,491","4,350","3,290",658,
    Mujeres,"37,536","1,627","1,820","3,312","1,718","1,613","1,854","1,002","1,365","1,562","2,628","2,084","4,072","4,595","4,388","3,203",693,
  Pinar del Río,"1,443",-,487,385,60,64,19,28,25,22,42,30,71,69,50,43,48,
    Hombres,735,-,255,191,34,32,6,12,17,14,22,14,42,34,28,11,23,
    Mujeres,708,-,232,194,26,32,13,16,8,8,20,16,29,35,22,32,25,
  Artemisa,"6,570","1,079",-,"1,024",266,124,102,66,67,118,272,255,566,"1,042",877,587,125,
    Hombres,"3,473",517,-,518,133,67,53,33,32,61,160,139,314,568,494,315,69,
    Mujeres,"3,097",562,-,506,133,57,49,33,35,57,112,116,252,474,383,272,56,
  La Habana,"21,868","1,282","1,815",-,"1,721",913,908,473,441,660,"1,414","1,032","3,038","2,562","2,946","2,062",601,
    Hombres,"10,765",568,923,-,903,471,457,226,222,326,697,523,1509,1196,1407,1063,274,
    Mujeres,"11,103",714,892,-,818,442,451,247,219,334,717,509,1529,1366,1539,999,327,
  Mayabeque,"5,422",128,245,926,-,310,78,61,66,128,241,213,533,"1,154",596,632,111,
    Hombres,"2,817",52,116,473,-,175,41,31,32,63,139,114,292,585,308,345,51,
    Mujeres,"2,605",76,129,453,-,135,37,30,34,65,102,99,241,569,288,287,60,
  Matanzas,"7,483",125,122,562,377,-,810,260,277,237,544,364,711,"1,138","1,108",764,84,
    Hombres,"3,886",61,64,292,200,-,422,150,137,119,266,197,373,611,561,382,51,
    Mujeres,"3,597",64,58,270,177,-,388,110,140,118,278,167,338,527,547,382,33,
  Villa Clara,"3,238",44,49,410,48,315,-,466,679,198,170,137,185,203,185,114,35,
    Hombres,"1,621",19,31,210,22,157,-,223,342,100,93,75,95,86,94,60,14,
    Mujeres,"1,617",25,18,200,26,158,-,243,337,98,77,62,90,117,91,54,21,
  Cienfuegos,"2,328",32,60,226,36,236,510,-,202,98,159,84,171,142,209,149,14,
    Hombres,"1,153",15,28,111,19,115,258,-,94,45,87,52,81,65,106,73,4,
    Mujeres,"1,175",17,32,115,17,121,252,-,108,53,72,32,90,77,103,76,10,
  Sancti Spíritus,"3,133",31,60,300,50,143,640,198,-,367,314,144,261,250,185,175,15,
    Hombres,"1,601",17,37,152,27,78,315,111,-,202,145,86,135,123,89,76,8,
    Mujeres,"1,532",14,23,148,23,65,325,87,-,165,169,58,126,127,96,99,7,
Ciego de Ávila,"4,076",20,54,270,78,96,172,48,348,-,704,242,490,645,495,386,28,
    Hombres,"2,091",9,30,140,45,47,90,28,182,-,358,124,234,332,258,201,13,
    Mujeres,"1,985",11,24,130,33,49,82,20,166,-,346,118,256,313,237,185,15,
  Camagüey,"4,462",39,96,459,116,183,125,113,160,507,-,768,521,499,476,366,34,
    Hombres,"2,227",19,55,234,71,98,63,49,69,258,-,388,265,233,220,188,17,
    Mujeres,"2,235",20,41,225,45,85,62,64,91,249,-,380,256,266,256,178,17,
  Las Tunas,"2,654",28,88,262,89,118,159,53,75,95,475,-,557,266,214,130,45,
    Hombres,"1,312",16,52,138,50,55,83,30,37,50,249,-,253,118,104,53,24,
    Mujeres,"1,342",12,36,124,39,63,76,23,38,45,226,-,304,148,110,77,21,
  Holguín,"3,913",29,137,505,213,231,88,74,139,255,363,531,-,439,477,389,43,
    Hombres,"2,031",18,88,269,118,119,45,41,68,146,187,273,-,214,239,179,27,
    Mujeres,"1,882",11,49,236,95,112,43,33,71,109,176,258,-,225,238,210,16,
  Granma,"3,084",44,212,477,274,217,61,31,87,174,260,211,373,-,467,136,60,
    Hombres,"1,610",24,110,248,153,122,34,19,45,95,138,107,191,-,216,75,33,
    Mujeres,"1,474",20,102,229,121,95,27,12,42,79,122,104,182,-,251,61,27,
  Santiago de Cuba,"3,648",81,206,647,162,247,53,104,66,199,268,164,446,475,-,477,53,
    Hombres,"1,869",41,106,364,94,138,30,46,35,106,139,75,228,222,-,223,22,
    Mujeres,"1,779",40,100,283,68,109,23,58,31,93,129,89,218,253,-,254,31,
  Guantánamo,"2,093",26,132,317,153,146,33,39,65,156,140,80,263,111,377,-,55,
    Hombres,"1,101",17,69,207,84,69,11,20,27,88,77,30,142,50,182,-,28,
    Mujeres,992,9,63,110,69,77,22,19,38,68,63,50,121,61,195,-,27,
  Isla de la Juventud,885,66,41,196,48,25,13,13,12,38,36,54,93,91,76,83,-,
    Hombres,472,34,20,107,20,12,9,6,5,17,17,28,53,54,44,46,-,
    Mujeres,413,32,21,89,28,13,4,7,7,21,19,26,40,37,32,37,-,
