_,      Provincias de destino,-,--,---,----,-----,------,      Provincias de  destino,.,..,...,....,......,........,.........,............,..............
PROVINCIAS DE,-,     -,-,-,-,-,-,-,    -,   -,-,      -,-,-,   -,-,  -
 PROCEDENCIA/2011,     Total,   Pinar del Río,Artemisa,La  Habana,Mayabeque,Matanzas,Villa Clara,Cienfuegos,   Sancti Spíritus,    Ciego de Ávila,   Camagüey,     Las  Tunas,    Holguín,     Granma,   Santiago de Cuba,Guantánamo, Isla de la Juventud
Cuba,"65,978",852,"5,001","23,386","3,893","4,780","2,699","1,836","2,565","3,318","3,369","2,239","3,086","2,469","3,514","1,892","1,079",
    Hombres,"31,601",419,"2,440","10,368","1,940","2,338","1,398",907,"1,280","1,604","1,594","1,129","1,599","1,232","1,793","1,004",556,
    Mujeres,"34,377",433,"2,561","13,018","1,953","2,442","1,301",929,"1,285","1,714","1,775","1,110","1,487","1,237","1,721",888,523,
  Pinar del Río,"2,298",-,693,"1,116",99,101,42,9,19,14,21,26,25,21,45,16,51,
    Hombres,998,-,308,465,49,41,20,5,11,4,10,13,11,11,19,7,24,
    Mujeres,"1,300",-,385,651,50,60,22,4,8,10,11,13,14,10,26,9,27,
  Artemisa,"3,723",322,-,"1,946",236,129,52,32,57,61,72,75,166,191,209,100,75,
    Hombres,"1,821",158,-,903,99,63,27,22,26,32,36,44,98,103,110,55,45,
    Mujeres,"1,902",164,-,1043,137,66,25,10,31,29,36,31,68,88,99,45,30,
  La Habana,"4,992",197,716,-,647,345,273,162,185,188,285,217,428,350,503,286,210,
    Hombres,"2,727",107,397,-,333,198,134,85,96,108,160,129,250,191,280,155,104,
    Mujeres,"2,265",90,319,-,314,147,139,77,89,80,125,88,178,159,223,131,106,
  Mayabeque,"3,315",39,257,"1,647",-,314,36,27,46,64,95,71,136,186,173,149,75,
    Hombres,"1,663",16,120,777,-,177,25,13,24,37,46,38,70,105,95,78,42,
    Mujeres,"1,652",23,137,870,-,137,11,14,22,27,49,33,66,81,78,71,33,
  Matanzas,"3,035",29,115,795,232,-,312,181,109,103,166,99,185,222,284,170,33,
    Hombres,"1,560",16,66,357,127,-,169,93,60,47,78,62,101,115,149,102,18,
    Mujeres,"1,475",13,49,438,105,-,143,88,49,56,88,37,84,107,135,68,15,
  Villa Clara,"2,976",21,91,814,51,599,-,468,485,127,80,45,64,38,49,31,13,
    Hombres,"1,422",10,44,358,28,289,-,228,229,72,36,21,35,20,27,20,5,
    Mujeres,"1,554",11,47,456,23,310,-,240,256,55,44,24,29,18,22,11,8,
  Cienfuegos,"1,666",5,64,442,41,227,360,-,187,40,49,35,49,45,79,34,9,
    Hombres,806,2,28,181,21,116,199,-,86,17,24,17,27,22,41,19,6,
    Mujeres,860,3,36,261,20,111,161,-,101,23,25,18,22,23,38,15,3,
  Sancti Spíritus,"2,477",15,73,457,59,200,584,193,-,319,139,32,142,86,71,84,23,
    Hombres,"1,222",8,40,203,29,91,293,104,-,156,66,18,82,38,35,48,11,
    Mujeres,"1,255",7,33,254,30,109,291,89,-,163,73,14,60,48,36,36,12,
Ciego de Ávila,"2,894",14,78,713,95,182,168,88,312,-,430,101,178,179,207,123,26,
    Hombres,"1,424",6,40,314,53,90,90,41,170,-,201,49,105,85,101,64,15,
    Mujeres,"1,470",8,38,399,42,92,78,47,142,-,229,52,73,94,106,59,11,
  Camagüey,"4,419",28,170,"1,369",155,306,170,122,219,642,-,426,225,189,208,160,30,
    Hombres,"2,100",12,79,633,73,151,91,55,117,295,-,208,109,90,92,85,10,
    Mujeres,"2,319",16,91,736,82,155,79,67,102,347,-,218,116,99,116,75,20,
  Las Tunas,"3,744",16,183,"1,187",180,220,111,59,94,215,689,-,405,170,133,41,41,
    Hombres,"1,740",8,87,531,94,94,62,21,43,97,314,-,196,78,69,24,22,
    Mujeres,"2,004",8,96,656,86,126,49,38,51,118,375,-,209,92,64,17,19,
  Holguín,"7,902",41,430,"3,492",375,445,170,140,260,471,412,527,-,302,446,271,120,
    Hombres,"3,733",19,212,1562,189,212,77,67,137,229,191,253,-,147,221,150,67,
    Mujeres,"4,169",22,218,1930,186,233,93,73,123,242,221,274,-,155,225,121,53,
  Granma,"8,321",35,909,"3,314",742,574,163,130,283,432,371,290,335,-,537,72,134,
    Hombres,"3,834",18,430,1423,364,278,85,69,126,203,168,132,160,-,279,34,65,
    Mujeres,"4,487",17,479,1891,378,296,78,61,157,229,203,158,175,-,258,38,69,
  Santiago de Cuba,"7,442",36,703,"3,110",499,663,142,141,113,357,309,158,396,365,-,329,121,
    Hombres,"3,415",19,330,1367,247,315,67,62,56,167,156,73,185,160,-,151,60,
    Mujeres,"4,027",17,373,1743,252,348,75,79,57,190,153,85,211,205,-,178,61,
  Guantánamo,"5,774",17,442,"2,483",396,435,87,70,194,276,234,104,312,76,530,-,118,
    Hombres,"2,664",8,217,1072,197,205,47,33,98,137,99,50,152,37,250,-,62,
    Mujeres,"3,110",9,225,1411,199,230,40,37,96,139,135,54,160,39,280,-,56,
  Isla de la Juventud,"1,000",37,77,501,86,40,29,14,2,9,17,33,40,49,40,26,-,
    Hombres,472,12,42,222,37,18,12,9,1,3,9,22,18,30,25,12,-,
    Mujeres,528,25,35,279,49,22,17,5,1,6,8,11,22,19,15,14,-,
