_,      Provincias de destino,-,--,---,----,-----,------,      Provincias de  destino,.,..,...,....,......,........,.........,............,..............
PROVINCIAS DE,-,     -,-,-,-,-,-,-,    -,   -,-,      -,-,-,   -,-,  -
 PROCEDENCIA/2011,     Total,   Pinar del Río,Artemisa,La  Habana,Mayabeque,Matanzas,Villa Clara,Cienfuegos,   Sancti Spíritus,    Ciego de Ávila,   Camagüey,     Las  Tunas,    Holguín,     Granma,   Santiago de Cuba,Guantánamo, Isla de la Juventud
Cuba,"68,407","1,086","4,982","19,399","4,616","7,476","2,967","2,361","2,872","4,091","2,694","2,985","3,973","3,505","2,896","1,739",765,
    Hombres,"29,517",587,"2,831","3,668","2,466","3,956","1,579","1,225",1401 ,"2,108","1,373","1,567","2,108","1,857","1,496",876,419,
    Mujeres,"38,890",499,"2,151","15,731","2,150","3,520","1,388","1,136",1471 ,"1,983","1,321","1,418","1,865","1,648","1,400",863,346,
  Pinar del Río,"2,414",-,641,"1,179",111,136,31,47,23,32,23,28,33,39,26,29,36,
    Hombres,849,-,324,214,54,77,15,22,10 ,14,12,15,20,21,18,16,17,
    Mujeres,"1,565",-,317,965,57,59,16,25,13 ,18,11,13,13,18,8,13,19,
  Artemisa,"3,358",391,-,"1,805",194,107,56,42,40,62,60,75,133,177,129,60,27,
    Hombres,"1,123",202,-,310,94,51,28,22,18,32,26,44,77,95,73,35,16,
    Mujeres,"2,235",189,-,1495,100,56,28,20,22,30,34,31,56,82,56,25,11,
  La Habana,"5,035",235,748,-,738,498,369,201,202,225,158,216,407,381,321,176,160,
    Hombres,"2,770",128,415,-,393,265,191,106,105,126,83,121,240,206,179,105,107,
    Mujeres,"2,265",107,333,-,345,233,178,95,97,99,75,95,167,175,142,71,53,
  Mayabeque,"3,393",37,219,"1,881",-,374,53,54,44,51,41,48,116,231,111,83,50,
    Hombres,"1,193",20,113,404,-,180,30,24,24,27,19,23,65,134,57,45,28,
    Mujeres,"2,200",17,106,1477,-,194,23,30,20,24,22,25,51,97,54,38,22,
  Matanzas,"2,925",46,100,776,230,-,344,252,114,100,95,93,194,271,196,95,19,
    Hombres,"1,335",26,57,156,125,-,194,135,53,54,43,56,107,161,105,50,13,
    Mujeres,"1,590",20,43,620,105,-,150,117,61,46,52,37,87,110,91,45,6,
  Villa Clara,"3,393",20,80,904,80,896,-,532,392,147,64,60,88,54,43,30,3,
    Hombres,"1,252",13,47,147,34,476,-,265,89,44,30,30,41,22,8,6,,
    Mujeres,"2,141",7,33,757,46,420,-,267,303,103,34,30,47,32,35,24,3,
  Cienfuegos,"1,879",14,40,435,54,311,382,-,167,79,49,53,94,78,70,37,16,
    Hombres,868,11,22,81,22,170,209,-,103,42,30,19,54,46,33,18,8,
    Mujeres,"1,011",3,18,354,32,141,173,-,64,37,19,34,40,32,37,19,8,
  Sancti Spíritus,"2,514",17,58,472,58,241,660,176,-,387,88,52,142,65,43,38,17,
    Hombres,"1,190",10,37,101,28,136,343,87,-,218,43,29,76,35,20,17,10,
    Mujeres,"1,324",7,21,371,30,105,317,89,-,169,45,23,66,30,23,21,7,
Ciego de Ávila,"2,846",16,99,629,113,246,176,71,427,-,211,98,242,269,156,82,11,
    Hombres,"1,283",7,47,105,68,114,90,32,223,-,113,53,141,144,94,47,5,
    Mujeres,"1,563",9,52,524,45,132,86,39,204,-,98,45,101,125,62,35,6,
  Camagüey,"6,039",28,249,"1,372",205,576,177,211,323,814,-,748,435,379,280,201,41,
    Hombres,"2,723",16,156,251,112,316,104,110,168,419,-,407,206,192,151,90,25,
    Mujeres,"3,316",12,93,1121,93,260,73,101,155,395,-,341,229,187,129,111,16,
  Las Tunas,"3,892",36,199,915,171,345,90,96,170,215,563,-,586,269,137,67,33,
    Hombres,"1,785",15,133,172,103,197,53,56,93,109,309,-,303,135,58,30,19,
    Mujeres,"2,107",21,66,743,68,148,37,40,77,106,254,-,283,134,79,37,14,
  Holguín,"7,800",60,475,"2,294",435,727,203,215,350,622,418,708,-,440,425,349,79,
    Hombres,"3,349",31,276,413,232,388,105,114,187,333,221,386,-,227,214,180,42,
    Mujeres,"4,451",29,199,1881,203,339,98,101,163,289,197,322,-,213,211,169,37,
  Granma,"7,625",66,707,"1,931",905,"1,088",171,124,255,542,363,381,448,-,467,87,90,
    Hombres,"3,304",34,397,369,479,583,91,66,135,272,167,176,209,-,234,44,48,
    Mujeres,"4,321",32,310,1562,426,505,80,58,120,270,196,205,239,-,233,43,42,
  Santiago de Cuba,"8,233",44,746,"2,572",596,"1,167",145,222,176,451,289,228,556,594,-,359,88,
    Hombres,"3,433",31,424,478,317,618,62,124,92,230,144,112,296,302,-,171,32,
    Mujeres,"4,800",13,322,2094,279,549,83,98,84,221,145,116,260,292,-,188,56,
  Guantánamo,"5,679",31,510,"1,633",599,682,80,101,171,339,235,155,444,171,433,-,95,
    Hombres,"2,521",15,318,358,341,345,45,51,92,173,114,70,238,88,224,-,49,
    Mujeres,"3,158",16,192,1275,258,337,35,50,79,166,121,85,206,83,209,-,46,
  Isla de la Juventud,"1,382",45,111,601,127,82,30,17,18,25,37,42,55,87,59,46,-,
    Hombres,539,28,65,109,64,40,19,11,9,15,19,26,35,49,28,22,-,
    Mujeres,843,17,46,492,63,42,11,6,9,10,18,16,20,38,31,24,-,
