_,      Provincias de destino,-,--,---,----,-----,------,      Provincias de  destino,.,..,...,....,......,........,.........,............,..............
PROVINCIAS DE,-,     -,-,-,-,-,-,-,    -,   -,-,      -,-,-,   -,-,  -
 PROCEDENCIA/2011,     Total,   Pinar del Río,Artemisa,La  Habana,Mayabeque,Matanzas,Villa Clara,Cienfuegos,   Sancti Spíritus,    Ciego de Ávila,   Camagüey,     Las  Tunas,    Holguín,     Granma,   Santiago de Cuba,Guantánamo, Isla de la JuventudCuba,
 Cuba,"48,501","1,232","3,432","13,215","3,630","4,007","2,178","1,452","2,098","3,339","2,811","1,866","2,815","2,142","2,447","1,267",570,
    Hombres,"24,485",602,"1,805","6,381","1,897","2,079","1,092",750,1106 ,"1,750","1,389",921,"1,469","1,092","1,226",625,301,
    Mujeres,"24,016",630,"1,627","6,834","1,733","1,928","1,086",702,992 ,"1,589","1,422",945,"1,346","1,050","1,221",642,269,
  Pinar del Río,"1,669",-,499,747,98,54,29,17,21,13,20,23,27,27,51,13,30,
    Hombres,857,-,254,398,42,20,12,8,12 ,8,6,12,16,13,35,6,15,
    Mujeres,812,-,245,349,56,34,17,9,9 ,5,14,11,11,14,16,7,15,
  Artemisa,"2,539",343,-,"1,228",196,61,37,26,31,54,57,47,95,137,128,74,25,
    Hombres,"1,276",174,-,589,100,31,20,14,15,33,31,21,51,71,73,38,15,
    Mujeres,"1,263",169,-,639,96,30,17,12,16,21,26,26,44,66,55,36,10,
  La Habana,"4,238",317,514,-,833,313,228,117,160,173,259,145,310,244,344,184,97,
    Hombres,"2,190",138,258,-,424,166,110,63,82,108,126,76,175,133,170,110,51,
    Mujeres,"2,048",179,256,-,409,147,118,54,78,65,133,69,135,111,174,74,46,
  Mayabeque,"2,629",178,213,"1,109",-,192,38,39,31,77,60,77,179,210,112,88,26,
    Hombres,"1,328",84,110,527,-,96,19,22,19,41,31,41,92,119,60,55,12,
    Mujeres,"1,301",94,103,582,-,96,19,17,12,36,29,36,87,91,52,33,14,
  Matanzas,"2,113",28,44,443,137,-,242,121,99,264,103,60,104,184,164,91,29,
    Hombres,"1,076",16,22,233,69,-,136,66,48,128,41,29,52,97,79,41,19,
    Mujeres,"1,037",12,22,210,68,-,106,55,51,136,62,31,52,87,85,50,10,
  Villa Clara,"2,387",21,47,614,66,474,-,322,416,89,79,66,66,41,42,36,8,
    Hombres,"1,201",13,25,299,30,239,-,165,201,43,47,41,34,19,20,20,5,
    Mujeres,"1,186",8,22,315,36,235,-,157,215,46,32,25,32,22,22,16,3,
  Cienfuegos,"1,222",26,34,302,17,163,271,-,115,28,54,32,58,40,60,16,6,
    Hombres,636,14,16,169,9,95,132,-,56,16,26,13,33,19,27,7,4,
    Mujeres,586,12,18,133,8,68,139,-,59,12,28,19,25,21,33,9,2,
  Sancti Spíritus,"1,651",19,41,303,32,118,467,127,0,222,77,31,93,46,41,25,9,
    Hombres,817,13,16,146,20,68,222,58,0,113,41,14,49,19,24,11,3,
    Mujeres,834,6,25,157,12,50,245,69,0,109,36,17,44,27,17,14,6,
Ciego de Ávila,"2,190",25,69,438,92,152,184,76,275,-,298,74,175,120,119,80,13,
    Hombres,"1,108",8,36,211,53,76,84,37,160,-,147,43,84,60,67,35,7,
    Mujeres,"1,082",17,33,227,39,76,100,39,115,-,151,31,91,60,52,45,6,
  Camagüey,"3,404",46,141,833,156,273,125,88,153,482,-,367,220,211,180,92,37,
    Hombres,"1,704",22,81,393,84,133,66,41,70,247,-,185,112,113,104,37,16,
    Mujeres,"1,700",24,60,440,72,140,59,47,83,235,-,182,108,98,76,55,21,
  Las Tunas,"2,840",22,134,619,153,173,116,80,104,187,502,-,410,165,107,38,30,
    Hombres,"1,423",11,78,298,76,86,67,44,51,93,238,-,207,83,54,16,21,
    Mujeres,"1,417",11,56,321,77,87,49,36,53,94,264,-,203,82,53,22,9,
  Holguín,"5,261",35,323,"1,645",299,409,125,89,241,417,380,475,-,249,306,209,59,
    Hombres,"2,667",14,171,791,168,210,61,52,136,221,198,231,-,127,158,93,36,
    Mujeres,"2,594",21,152,854,131,199,64,37,105,196,182,244,-,122,148,116,23,
  Granma,"5,387",41,506,"1,454",655,628,120,84,156,438,298,214,321,-,349,62,61,
    Hombres,"2,673",31,265,683,340,324,62,47,86,229,149,91,150,-,158,22,36,
    Mujeres,"2,714",10,241,771,315,304,58,37,70,209,149,123,171,-,191,40,25,
  Santiago de Cuba,"5,469",40,516,"1,837",405,551,90,142,99,346,308,131,393,345,-,220,46,
    Hombres,"2,735",14,288,852,212,296,43,72,54,189,142,66,206,167,-,119,15,
    Mujeres,"2,734",26,228,985,193,255,47,70,45,157,166,65,187,178,-,101,31,
  Guantánamo,"4,603",42,303,"1,247",404,422,79,108,183,528,286,89,321,89,408,-,94,
    Hombres,"2,335",25,160,605,220,223,45,52,110,267,150,40,185,35,172,-,46,
    Mujeres,"2,268",17,143,642,184,199,34,56,73,261,136,49,136,54,236,-,48,
  Isla de la Juventud,899,49,48,396,87,24,27,16,14,21,30,35,43,34,36,39,-,
    Hombres,459,25,25,187,50,16,13,9,6,14,16,18,23,17,25,15,-,
    Mujeres,440,24,23,209,37,8,14,7,8,7,14,17,20,17,11,24,-,
