Periodo,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22
Matricula Inicial,6210,5236,5212,8244,8515,9254,7027,7068
Graduados,1362,1624,774,872,790,1231,585,858
